Element Symbol,symmetry,volume,Compounds
Ti,P6/mmm,51.05915967771039,"['MgTi', 'TiNi', 'U2Ti', 'TiN2', 'TiTe', 'Mg15Ti', 'TiCl2', 'TiAu', 'TiOs2', 'TiPb3', 'Sr3Ti', 'Mg2Ti', 'TiI4', 'TiI2', 'TiAu3', 'TiAu2', 'Na3Ti', 'TiAl3', 'Sm3Ti', 'TiN', 'TiMn2', 'TiAs', 'TiAl', 'TiPt3', 'TiO2', 'TiHg', 'PaTi', 'TiIn', 'TiCu', 'TiF3', 'TiCr2', 'TiCo2', 'TiPd', 'TiS', 'TiCd', 'TiF6', 'TiSb3', 'TiCl3', 'TiSb2', 'TiPt8', 'TiO', 'TiRh', 'TiBe3', 'TiPd2', 'TiP3', 'TiZn2', 'TiSe2', 'Mg7Ti', 'ZrTi', 'TiCl4', 'TiBr2', 'Mg3Ti', 'U3Ti', 'TiIr', 'TiZn3', 'Rb3Ti', 'TiCo3', 'La3Ti', 'TiF4', 'Yb3Ti', 'TiFe2', 'TiP', 'TiPd3', 'TiH2', 'TiBe12', 'Th3Ti', 'TiCd3', 'Mg149Ti', 'TiB2', 'HfTi', 'TiNi3', 'TiBr3', 'TiGa2', 'Ti', 'Ac3Ti', 'Eu3Ti', 'TiGa', 'TiI3', 'TiBr4', 'TiSi2', 'TiSe', 'TiTe2', 'Mg5Ti', 'TiH', 'TiAs3', 'UTi', 'TiSb', 'TiAl2', 'K3Ti', 'TiI', 'Nd3Ti', 'TiGa3', 'TiS3', 'TiFe4', 'TiAg', 'TiS2']"
V,Im-3m,13.263780153478194,"['VRh', 'VSi2', 'VPd3', 'VSb', 'Mg15V', 'Mg7V', 'VC', 'VTe', 'Be12V', 'VF4', 'Be2V', 'VN', 'VFe', 'VCo', 'MnV', 'VS', 'VO', 'Yb3V', 'VTe2', 'VRu3', 'VP4', 'VSe2', 'VP2', 'VGe3', 'VF2', 'VC3', 'VSn3', 'Th3V', 'Mg6V', 'PaV', 'VOs', 'VSe', 'VBi2', 'VMo', 'VI2', 'Al3V', 'VIn3', 'Mg149V', 'VNi3', 'VB2', 'VPt3', 'VIr3', 'VS4', 'VGe2', 'VAs2', 'VGa', 'Tl3V', 'VHg3', 'VO3', 'VCl4', 'Tm3V', 'VSb2', 'Ca3V', 'Zr3V', 'Sc3V', 'V', 'Eu3V', 'VRh3', 'VNi', 'VCl2', 'VCo4', 'VTc', 'K3V', 'VRu', 'VPd4', 'VCo3', 'VBr2', 'VCl5', 'VS2', 'VP', 'VCl3', 'Mg3V', 'VH', 'VIr', 'Ac3V', 'VAu3', 'VBr3', 'VZn3', 'VF3', 'VPt', 'VPt8', 'LaV', 'VF5', 'VAu', 'VI3', 'VI', 'VO2']"
Cr,Im-3m,26.16895772559837,"['Mg15Cr', 'Cr', 'CrIr3', 'CrRh3', 'Be2Cr', 'CrIr', 'CrB', 'CrP4', 'CrS', 'Mg7Cr', 'MgCr', 'CrRe3', 'Sm3Cr', 'Be12Cr', 'CrB2', 'Na3Cr', 'CrTe3', 'CrRu', 'CrAg3', 'CrIn3', 'CrPb2', 'Li3Cr', 'CrCl', 'Al3Cr', 'CrI3', 'Ce3Cr', 'CrFe3', 'Yb3Cr', 'CrP2', 'Nd3Cr', 'CrSi', 'CrCo3', 'CrN2', 'CrAs', 'CrRh', 'Rb3Cr', 'CrC', 'CrSb', 'CrF3', 'CrI2', 'CrMo3', 'Tl3Cr', 'Ac3Cr', 'CrF6', 'CrPt', 'CrAs2', 'CrF5', 'CrF4', 'CrPd', 'CrCl3', 'Eu3Cr', 'CrH3', 'CrPt4', 'CrSe', 'CrF2', 'CrNi3', 'CrTe2', 'CrGe', 'CrS2', 'CrO2', 'CrPd3', 'CrNi', 'CrO3', 'CrSb2', 'Pm3Cr', 'Th3Cr', 'CrBr3', 'Nb3Cr', 'CrPt3', 'CrHg3', 'CrSe2', 'Pr3Cr', 'Mg149Cr', 'Mg3Cr', 'CrAu', 'Zn3Cr', 'CrH', 'CrBr2', 'CrN', 'CrO', 'Sr3Cr', 'CrCo', 'CrSi2', 'CrTe', 'K3Cr', 'CrGa', 'CrBi']"
Mn,I-43m,377.65780883545983,"['Zr3Mn', 'MnP', 'MnPd', 'MnSe', 'MnB4', 'MnPt', 'MnRu3', 'MnS', 'MnF3', 'MnGa4', 'MnFe3', 'Tb4Mn', 'MnH', 'MnNi', 'MnSn', 'MnTe2', 'Dy4Mn', 'MnO2', 'Mg15Mn', 'MnSn3', 'MnNi3', 'MnGe3', 'MnHg', 'MnAl', 'MnV', 'MnB', 'MnO', 'MnAl12', 'HfMn', 'MnSi', 'MnFe', 'Yb3Mn', 'Rb3Mn', 'MnAu3', 'MnZn', 'Mg7Mn', 'MnF2', 'Pu4Mn', 'MnSe2', 'Ho4Mn', 'MnTe', 'MnPt2', 'MnHg3', 'MnCl2', 'MnPt3', 'MnIn3', 'Mg149Mn', 'MnRu', 'MnSb', 'MnB2', 'MnTl3', 'MnBe2', 'MnP4', 'MnGe', 'MnAu2', 'MnIr3', 'MnOs3', 'MnN', 'Zr4Mn', 'MnCo', 'Hf2Mn', 'MnO4', 'MnRh', 'MnZn13', 'Na3Mn', 'MnS2', 'K3Mn', 'MnGe2', 'MnV3', 'MnCu3', 'Mn', 'Mg3Mn', 'MnAu4', 'MnBe12', 'MnBr2', 'U6Mn', 'MnCo3', 'LiMn', 'MnZn3', 'MnCd3', 'MnGa', 'MnMo3', 'Ca3Mn', 'MnSn2', 'MnI2', 'MnBe3', 'MnF4', 'MnAs', 'MnBi', 'MnAu', 'MnSb4', 'MnIr', 'MnBi3', 'MnPd3', 'Ba3Mn']"
Fe,Im-3m,23.468168469356993,"['FeAg3', 'Zr4Fe', 'FeIr', 'Er4Fe', 'FeSn2', 'FeSe2', 'FeHg3', 'FeCo9', 'FeSi', 'FeNi', 'Cr3Fe', 'FeNi3', 'FeO3', 'Be5Fe', 'Ti3Fe', 'FeH3', 'VFe', 'Mg149Fe', 'Hf4Fe', 'FeRu', 'Al3Fe', 'Dy4Fe', 'MnFe', 'Ta2Fe', 'FeNi2', 'Zn13Fe', 'FeF6', 'FeAg', 'FeO', 'FeBr2', 'Fe', 'FeCo', 'FeSn3', 'TiFe', 'NbFe', 'FeCu4', 'Tl3Fe', 'FeS', 'FeCu3', 'FeF2', 'FePt3', 'Ga3Fe', 'Zr2Fe', 'Cd3Fe', 'Mg7Fe', 'Nb3Fe', 'TaFe', 'Li3Fe', 'Sr3Fe', 'KFe', 'Np4Fe', 'FePd2', 'FeF4', 'FeP4', 'FeBr3', 'FeCo3', 'Nd2Fe', 'Ti2Fe', 'FeS2', 'ZnFe', 'FeRh', 'FePd3', 'FePd', 'Pu6Fe', 'FeSb3', 'FeSe', 'FeSb2', 'Pr4Fe', 'FeGe', 'FeAu', 'FeB', 'AlFe', 'FeRe', 'FeRh3', 'FeB2', 'FeH4', 'FeCl3', 'FeN', 'FeCl', 'Nd4Fe', 'Lu4Fe', 'FeSb', 'Be12Fe', 'FeF3', 'FeTe', 'Tm4Fe', 'Nb2Fe', 'FeCl2', 'FeGe3', 'FeGe2', 'Na3Fe', 'FeI2', 'FeTe2', 'U6Fe', 'Cr2Fe', 'FeIr3', 'FeSn', 'Sc4Fe', 'Mg15Fe', 'FeO2', 'GaFe', 'FeH', 'U4Fe', 'Mg3Fe', 'V3Fe', 'FeAu3', 'FeRe3', 'Be2Fe', 'FePt', 'FeSi2', 'Be3Fe']"
Co,Fm-3m,10.841542632772713,"['Zr2Co', 'Ta4Co', 'CoTe2', 'YCo', 'K3Co', 'CoRe3', 'Be5Co', 'CoAs3', 'CoTc', 'CoS', 'Tb4Co', 'Tl3Co', 'NdCo', 'CoIr', 'CoCl2', 'CoAu4', 'CoSn', 'CoPd', 'Hf2Co', 'TiCo', 'Yb4Co', 'CoSi', 'Mg3Co', 'Ta2Co', 'Hf4Co', 'CoSb3', 'Pu2Co', 'VCo', 'Nd2Co', 'CoO4', 'CoF4', 'CoW', 'CoSb2', 'Zr3Co', 'CoH3', 'Ti2Co', 'Na3Co', 'In3Co', 'HfCo', 'Cr3Co', 'Ti4Co', 'CoSi2', 'CoW3', 'FeCo', 'CoI2', 'Sc2Co', 'CoBr', 'CoN3', 'Hf3Co', 'BeCo', 'CoS2', 'CoAs2', 'LaCo', 'CoPt3', 'CoPd3', 'CoF2', 'Mg15Co', 'Mn3Co', 'CoOs', 'ZnCo', 'CoP3', 'Pu4Co', 'CoN12', 'Pr4Co', 'CoF3', 'V3Co', 'CoMo', 'Co', 'CoN', 'CoMo3', 'UCo', 'Fe3Co', 'Be12Co', 'Tm4Co', 'MnCo', 'CoHg3', 'ZrCo', 'CoAu3', 'Ga3Co', 'AlCo', 'NbCo', 'Zn3Co', 'CoSn3', 'CoPt2', 'Sm4Co', 'CoRe', 'La4Co', 'CoNi', 'CoSe2', 'ScCo', 'CoSe', 'Cr2Co', 'Lu4Co', 'U6Co', 'CoAs', 'Rb3Co', 'CoP2', 'Pu6Co', 'CoO', 'U4Co', 'CoSb', 'CoSn2', 'Be3Co', 'CoRu', 'Nd4Co', 'Mg7Co', 'CoTe', 'Zr4Co', 'Zn13Co', 'CoPb3', 'GaCo', 'Fe15Co', 'CoNi3', 'Sc4Co', 'Li3Co', 'Ho4Co', 'CrCo', 'CoH', 'CoO2', 'TaCo', 'CoBr2', 'CoTc3', 'CoGe', 'CoRh3', 'CoRh', 'CoPt']"
Ni,Fm-3m,10.492020341068946,"['TiNi', 'Ga5Ni', 'Sr3Ni', 'MgNi', 'NiIr3', 'TcNi', 'NiH', 'Hf3Ni', 'NiF4', 'CuNi', 'Zn3Ni', 'PaNi', 'Fe3Ni', 'Re3Ni', 'Tc3Ni', 'NiSe', 'Ho4Ni', 'Si2Ni', 'NiPd3', 'Nd4Ni', 'NiC4', 'NiAs', 'Lu4Ni', 'NiN', 'FeNi', 'MnNi', 'NiSb3', 'SiNi', 'NbNi', 'U6Ni', 'Mg7Ni', 'NiI2', 'Co3Ni', 'NiRu', 'La4Ni', 'NiP4', 'NiO', 'Ta5Ni', 'Yb4Ni', 'NiPb', 'Be3Ni', 'Nb3Ni', 'Cr3Ni', 'Cs3Ni', 'Ta2Ni', 'NiTe', 'Sc4Ni', 'Er4Ni', 'Zr3Ni', 'NiO2', 'Cr2Ni', 'NiRh', 'NiTe2', 'TlNi', 'NiIr', 'ZnNi', 'InNi', 'CaNi', 'V3Ni', 'Dy4Ni', 'NiP2', 'NiF3', 'Zr2Ni', 'NiBi', 'NiGe3', 'Zr4Ni', 'ScNi', 'Pu4Ni', 'In3Ni', 'NiPt3', 'Y4Ni', 'TaNi', 'NiSe2', 'NiS', 'NiI', 'Th3Ni', 'CrNi', 'Ni', 'NiHg', 'NiCl2', 'NiB12', 'CoNi', 'VNi', 'GaNi', 'NiCl', 'NiC', 'Mg15Ni', 'Hf2Ni', 'NiP3', 'Tm4Ni', 'Ca4Ni', 'AlNi', 'NiAu3', 'TbNi', 'Mg149Ni', 'NiBr2', 'Ti3Ni', 'Li3Ni', 'NiPt', 'NiF2', 'NiS2', 'NiAs2', 'CdNi', 'Mg2Ni', 'Fe2Ni', 'Na3Ni', 'NiPd', 'BeNi', 'NiAg3', 'Cd3Ni', 'NiH3', 'NiSb']"
Cu,Fm-3m,11.445998564977856,"['InCu', 'CuCl', 'Nd3Cu', 'Mg7Cu', 'CuAg3', 'CuPt', 'CuS2', 'NaCu', 'CuNi', 'Be2Cu', 'Ta3Cu', 'TmCu', 'CuN', 'Tl3Cu', 'CuBr2', 'Al2Cu', 'ZrCu', 'Pr3Cu', 'AlCu', 'YCu', 'SrCu', 'CuGe3', 'TbCu', 'DyCu', 'K3Cu', 'CuSn3', 'Fe3Cu', 'ZnCu', 'Zn3Cu', 'In2Cu', 'CuPd3', 'Na3Cu', 'Ce3Cu', 'EuCu', 'Ti2Cu', 'Th2Cu', 'Mg2Cu', 'CuNi3', 'CuAu3', 'TiCu', 'CuCl2', 'V3Cu', 'HoCu', 'CuRu3', 'Mn4Cu', 'Hf2Cu', 'CuS', 'SmCu', 'ErCu', 'Ga3Cu', 'Mg4Cu', 'CuAu4', 'CuTe', 'CuI', 'CuRh', 'CuAs', 'CuTe2', 'Cr3Cu', 'CuF', 'CuAu', 'Mg15Cu', 'CuPt7', 'CuSe2', 'ScCu', 'CuF2', 'Al3Cu', 'Ti3Cu', 'CaCu', 'CuO2', 'Nb3Cu', 'U3Cu', 'Np3Cu', 'Zr2Cu', 'CuSn', 'CuI2', 'Co3Cu', 'Pm3Cu', 'Be3Cu', 'Ga2Cu', 'CuH', 'CuP10', 'CuP2', 'MgCu', 'Yb3Cu', 'CuAs2', 'Mg3Cu', 'CuSe', 'BaCu', 'Li3Cu', 'GdCu', 'Zr3Cu', 'CuPb3', 'CuBi', 'CuO', 'CuPd', 'CuBr', 'CuI4', 'Sr3Cu', 'BeCu', 'CuCl4', 'Mg5Cu', 'In3Cu', 'Cu', 'CuN3']"
Zn,P6_3/mmc,28.845108913918352,"['ZnPb3', 'ZnNi', 'Zn', 'ZnF2', 'ZnTe', 'ZnAg', 'ZnPd2', 'Li3Zn', 'Mg5Zn', 'Hf2Zn', 'ZnNi3', 'ZnN6', 'Tl3Zn', 'Nd3Zn', 'ZnCo3', 'ZnSn3', 'ZnPd', 'ZnO', 'ZnFe', 'ZnSi3', 'Ba2Zn', 'ZnPd3', 'ZnS', 'Mg3Zn', 'ZnAg3', 'ZnBi3', 'Ti2Zn', 'K3Zn', 'ZnCl2', 'ZnHg3', 'ZnIn3', 'Th2Zn', 'ZnBr2', 'ZnI2', 'ZnAu3', 'Th3Zn', 'Zr2Zn', 'ZnRh3', 'Ac3Zn', 'Pr3Zn', 'ZnPt', 'Rb3Zn', 'Ca3Zn', 'ZnSe', 'ZnCu', 'U3Zn', 'Pm3Zn', 'ZnSb2', 'Sm3Zn', 'Ca2Zn', 'La3Zn', 'ZnP2', 'Ti3Zn', 'MgZn', 'Mn3Zn', 'Zr3Zn', 'Na3Zn', 'Ce3Zn', 'Mg2Zn', 'ZnAs2']"
Ga,Cmce,76.70242103705301,"['GaPd', 'GaCu3', 'GaGe3', 'Mg5Ga', 'GaCo4', 'Hf3Ga', 'SrGa', 'GaFe3', 'MgGa', 'GaNi3', 'GaNi2', 'GaSb', 'Mn3Ga', 'GaHg3', 'Mg149Ga', 'Cd3Ga', 'GaI3', 'Ce3Ga', 'GaTc', 'GaAg3', 'EuGa', 'Ti2Ga', 'K3Ga', 'GaPt3', 'GaH3', 'Tm3Ga', 'GaCo3', 'GaC', 'GaS', 'GaSi3', 'Na3Ga', 'Sc3Ga', 'GaN', 'GaCl3', 'GaBr2', 'GaSn3', 'Ti3Ga', 'ZrGa', 'Mg3Ga', 'Li3Ga', 'GaSe', 'Mg2Ga', 'GaO5', 'GaP', 'Zr2Ga', 'GaCu2', 'GaFe2', 'Mn4Ga', 'VGa', 'GaRe', 'Mg15Ga', 'GaTe', 'GaI2', 'PuGa', 'Mg7Ga', 'GaAg2', 'Hf2Ga', 'GaRh3', 'GaO3', 'GaBi', 'Ga', 'Th2Ga', 'GaAs', 'TiGa', 'Rb3Ga', 'In3Ga', 'GaPt', 'GaBr3', 'GaO', 'GaH', 'MnGa', 'GaCu4', 'GaPd3', 'GaF3', 'UGa', 'GaPb3', 'GaFe', 'Lu3Ga', 'CrGa']"
Ge,Fd-3m,45.68820923290832,"['Ni4Ge', 'Al3Ge', 'ZnGe', 'GeTe', 'CeGe', 'GeAs3', 'GeB', 'SnGe', 'Hg3Ge', 'GePd5', 'Th2Ge', 'GeRu', 'GeP2', 'GeBr4', 'Si3Ge', 'Ni2Ge', 'Be3Ge', 'Ge', 'GeSe', 'Zn3Ge', 'Mn3Ge', 'Zr3Ge', 'SiGe', 'CsGe', 'GePt2', 'GeP', 'Tl3Ge', 'Li3Ge', 'Pu3Ge', 'Fe3Ge', 'Er3Ge', 'Nb3Ge', 'KGe', 'GeBr2', 'GeSb', 'GePd2', 'Ni3Ge', 'ThGe', 'Pm3Ge', 'Ti3Ge', 'GeH4', 'Tc3Ge', 'Cd3Ge', 'GeO2', 'Mg5Ge', 'Co2Ge', 'V3Ge', 'In3Ge', 'Y3Ge', 'GeSe2', 'GeAs', 'MnGe', 'ScGe', 'GeC', 'LiGe', 'GeMo3', 'Rb3Ge', 'Tm3Ge', 'GePt3', 'CrGe', 'GeCl4', 'FeGe', 'GePb3', 'Re3Ge', 'Fe2Ge', 'Ga3Ge', 'GaGe', 'K3Ge', 'Cu3Ge', 'Cr3Ge', 'GeAs2', 'GeBi3', 'Ti2Ge', 'GeAu3', 'Ag3Ge', 'Mn2Ge', 'Na3Ge', 'GeS2', 'Mg2Ge', 'Sn3Ge', 'GeI2', 'GeI4', 'Cs3Ge', 'GeF2', 'GeF4', 'NaGe', 'MgGe', 'Pa3Ge', 'GeRh', 'GeP3', 'ZrGe', 'GeRh3', 'U3Ge', 'Ca7Ge', 'Hf2Ge', 'GeSb3', 'Co4Ge', 'Si7Ge', 'CoGe', 'Mg3Ge', 'Ca2Ge', 'Hf3Ge', 'RbGe']"
As,Cmce,98.54977227954305,"['Ho3As', 'ThAs', 'ErAs', 'Dy3As', 'Fe2As', 'AsS', 'Ta2As', 'LuAs', 'K3As', 'NpAs', 'AsPb3', 'NiAs', 'AsAu3', 'SmAs', 'DyAs', 'ScAs', 'Ba2As', 'AsH3', 'Tc3As', 'TlAs', 'As', 'AsN9', 'B6As', 'AsF5', 'YbAs', 'Sr2As', 'In3As', 'PrAs', 'TiAs', 'Cr3As', 'Ni3As', 'CeAs', 'AsF3', 'Sc3As', 'TbAs', 'YAs', 'Ag3As', 'AsO2', 'AgAs', 'Nb2As', 'CrAs', 'EuAs', 'AsI3', 'Li3As', 'NbAs', 'AsCl5', 'AlAs', 'NdAs', 'CuAs', 'Ta3As', 'Bi3As', 'Mn2As', 'Rb3As', 'Ge3As', 'NaAs', 'GdAs', 'GeAs', 'CaAs', 'Al3As', 'UAs', 'InAs', 'AsCl3', 'Cu3As', 'AsPd2', 'Cu4As', 'TaAs', 'Cu2As', 'Mg5As', 'Ti3As', 'MgAs', 'SnAs', 'SrAs', 'Cd3As', 'AsRh2', 'SbAs', 'AsPd4', 'Hf3As', 'PaAs', 'Si3As', 'Na3As', 'ZrAs', 'PuAs', 'LiAs', 'Sr3As', 'AsSe', 'AsBr3', 'Zn2As', 'SiAs', 'AsPd5', 'GaAs', 'TmAs', 'CoAs', 'Ga3As', 'LaAs', 'Np3As', 'KAs', 'Cs3As', 'Tl3As', 'Co2As', 'Cr2As', 'BAs', 'AsP', 'TeAs', 'RbAs', 'Hg3As', 'ZnAs', 'AsPt3', 'AsS2', 'Hf2As', 'V3As', 'MnAs', 'AsO3', 'Er3As', 'HoAs', 'HfAs', 'Ca2As', 'Sn3As']"
Se,P2_1/c,2135.296539085758,"['Ir3Se', 'Pd4Se', 'MnSe', 'Te3Se', 'SeCl', 'MoSe', 'NiSe', 'SeO2', 'Mg149Se', 'PbSe', 'YSe', 'Hf2Se', 'SeI2', 'RbSe', 'LuSe', 'Mo3Se', 'Zn3Se', 'BaSe', 'Na2Se', 'CaSe', 'Th3Se', 'Se', 'As2Se', 'Ga3Se', 'PSe', 'Nb2Se', 'GeSe', 'ZrSe', 'PrSe', 'SeO3', 'Ni3Se', 'SeF4', 'KSe', 'SmSe', 'NdSe', 'Nb3Se', 'HgSe', 'ErSe', 'PuSe', 'SeBr4', 'PdSe', 'P2Se', 'CsSe', 'Sn3Se', 'ThSe', 'AgSe', 'Ag2Se', 'SeS7', 'LaSe', 'Ta2Se', 'Bi2Se', 'VSe', 'TbSe', 'BiSe', 'GdSe', 'Ba3Se', 'NaSe', 'SnSe', 'Co3Se', 'MgSe', 'EuSe', 'GaSe', 'In3Se', 'SeBr2', 'CrSe', 'SeBr3', 'Zr3Se', 'FeSe', 'RhSe', 'Tb3Se', 'YbSe', 'SeS', 'Cr3Se', 'PmSe', 'Li2Se', 'ZnSe', 'Ti3Se', 'AsSe', 'DySe', 'SeN', 'CoSe', 'SrSe', 'InSe', 'Rh3Se', 'SeBr', 'Cu2Se', 'SeCl4', 'AuSe', 'CuSe', 'SeO4', 'USe', 'BeSe', 'Cs2Se', 'TiSe', 'Cd3Se', 'Hf3Se', 'CdSe', 'CeSe', 'Fe3Se', 'TmSe', 'IrSe', 'HoSe', 'ScSe', 'H2Se', 'Ag3Se', 'TeSe', 'Rb2Se', 'NpSe', 'TlSe']"
Br,Cmce,132.8423775658678,"['Ac3Br', 'BiBr', 'PbBrF', 'SnBrCl', 'AgBrO2', 'Se3Br', 'Cu4BrCl3', 'Br', 'BrN3', 'NiBrO', 'B10H13Br', 'Nd3Br', 'Rh3Br', 'ReBr', 'Te2Br', 'LuBrO', 'KBr', 'ZrBr', 'Cs2BrCl', 'BrN', 'NaBrO3', 'AcBrO', 'UBrO5', 'H7BrO3', 'GdBr', 'BrO3', 'Mn3Br', 'Fe4Se3Br', 'NdBrO', 'CaHBr', 'CBrN', 'HgSBr', 'Eu2BrO2', 'CsBr', 'BrO2', 'BrO', 'Ti3Br', 'Bi3BrO4', 'TbCBr', 'HgBrN', 'CsBrF', 'NdBrO2', 'Pr3Br', 'BrF5', 'CeBrO', 'BrN4', 'PuBrO', 'LaCBr', 'CoBr', 'EuBrO', 'RbBr', 'GdSBr', 'UBrN', 'YCBr', 'GdBrO', 'S3Br', 'Sb4BrO6', 'Mg149Br', 'CBrF2', 'UBr', 'Bi2IBr', 'CoBrO', 'TiBrO', 'CaBr', 'Mg3Br', 'CdBrO', 'LuBr', 'Bi3Se4Br', 'Tl3Br', 'LiBr', 'AgBr', 'AuBr', 'BrF3', 'BrCl', 'LaBrO2', 'La3Br', 'YBrO', 'Li2BrO', 'NaBrO2', 'V3Br', 'InBr', 'TlBr', 'H5BrO2', 'PbBrCl', 'ScBrO', 'PBr', 'Cu4I3Br', 'InI2Br', 'PH4Br', 'Zr3Br', 'ThBrN', 'Th3Br', 'SBr', 'HoBrO', 'YbBrO', 'BBr', 'RhBr', 'SmBrO', 'Ag3Br', 'SrHBr', 'Rb3BrF12', 'BrO4', 'Pu3Br', 'EuBrO2', 'ErBrO', 'PrBrO', 'SeBr', 'YbBr', 'IBr', 'H4BrN', 'GdBrO2', 'LaBrO', 'Na3BrCl2', 'NaBr', 'SmBr', 'PrBrO2', 'Ce3Br', 'GdCBr', 'BaBrF', 'SnBrF', 'BaHBr', 'Au3Br', 'SmSBr', 'HgBr', 'PrSBr', 'SbBrO', 'Cu2BrO3', 'CuBrO2', 'H9BrO4', 'SrBrF', 'HBr', 'CuBr', 'BiBrO', 'LaBr', 'TmBr', 'Pa3Br', 'TmBrO', 'TbBr', 'TbSBr', 'BrNO', 'Ba2P7Br']"
Kr,R-3m,141.71468334419296,"['Kr', 'SbKrF7', 'SbKr3F11', 'AsKrF7', 'KrF2', 'BiKrF7', 'Hg2Te4Kr3(O2F13)2', 'Sb2(KrF4)5', 'AsBrKr2OF12', 'As2Kr3F16']"
Rb,C2/c,722.1109726006154,"['RbSrCl3', 'RbN', 'RbSn3', 'RbP11', 'RbBa3', 'RbI', 'RbHg11', 'RbBiF4', 'RbGa7', 'RbYb3', 'RbO3', 'RbRe', 'RbV3O8', 'RbB', 'RbSe', 'Rb(CrS2)2', 'RbF3', 'RbHg3', 'RbU3', 'RbIn5S8', 'Rb', 'RbV5S8', 'RbAu5', 'RbNp3', 'RbIn3S5', 'RbGeCl3', 'Rb(WO3)3', 'RbLi2O3', 'CsRb', 'RbGeBr3', 'RbC2', 'RbBr3', 'RbIn4', 'RbBi3', 'RbAg3Se2', 'RbBi', 'RbH', 'RbI3', 'RbSeO4', 'RbGa3', 'RbAg4I5', 'RbC8', 'RbHO', 'RbBi2', 'RbMg', 'RbBr', 'RbS', 'RbSi', 'RbAc3', 'RbMnSe2', 'RbCa3', 'RbYb', 'RbH2N', 'RbBi3Se5', 'RbN3', 'RbBi4Se7', 'RbPr3', 'RbSnF3', 'K3Rb', 'RbHg2', 'RbSnBr3', 'RbTl3', 'RbCd13', 'RbCr5Se8', 'RbPb', 'RbPO4', 'RbO2', 'RbMnTe2', 'RbHg5Cl11', 'Rb(CO)2', 'RbP', 'RbSb', 'RbEu3', 'Rb(WO4)8', 'RbTe', 'RbTlO', 'RbSb3', 'RbZn13', 'Cs3Rb', 'RbHS', 'RbAl', 'RbAuBr3', 'RbMg7', 'RbMg15', 'RbSeBr3', 'RbCe3', 'RbTe6', 'RbTaO3', 'RbAs', 'RbSn', 'RbMg149', 'RbF2', 'RbSb2', 'RbC10', 'RbP15', 'RbF', 'RbV5Se8', 'RbAg3Te2', 'RbAu', 'RbCr3O8', 'RbMg2', 'RbCuO', 'RbSr3', 'RbNa3', 'RbGe3', 'RbC', 'RbBiF3', 'RbCl', 'RbCu3S2', 'RbO2F', 'RbMg3', 'RbSc5Te8', 'RbBe2F5', 'RbGe', 'RbAg3S2', 'Rb(CuO5)2']"
Sr,P6_3/mmc,112.86603919480832,"['SrAl2', 'SrH2', 'SrTb3', 'SrB6', 'SrBi3', 'SrMg2', 'SrGa2', 'SrMg3', 'SrC6', 'SrIn5', 'SrGa', 'Sr', 'SrPb3', 'SrH3', 'SrCu', 'SrCe3', 'SrPr3', 'SrSb2', 'SrAl4', 'SrPt2', 'SrS2', 'SrAs3', 'SrEu3', 'SrTl3', 'SrC10', 'SrRh2', 'SrIn2', 'SrP2', 'K3Sr', 'SrC2', 'SrO10', 'SrAu', 'SrPd5', 'SrPd2', 'SrP', 'SrCl2', 'SrCu5', 'SrO2', 'SrZn13', 'SrSm3', 'SrPa3', 'SrCd11', 'SrYb', 'SrS', 'SrF3', 'SrCa3', 'SrGe3', 'SrBr2', 'SrSi2', 'SrN2', 'SrO4', 'SrTl2', 'SrMg', 'Cs3Sr', 'SrN', 'SrAg5', 'SrEu', 'SrP3', 'SrMg15', 'SrZn11', 'SrPm3', 'SrPd3', 'Ba3Sr', 'SrHg2', 'SrZn2', 'SrC', 'SrGd3', 'SrAs', 'SrU', 'SrI2', 'SrCd', 'SrIn3', 'SrCl3', 'SrGe2', 'SrMg4', 'SrY', 'SrB2', 'SrYb3', 'SrGa4', 'SrC20', 'SrSn3', 'SrHg', 'SrSe', 'SrTh3', 'SrF2', 'SrMg7', 'Rb3Sr', 'SrO', 'SrAu5', 'SrNd3', 'SrF', 'SrDy3', 'SrHg3', 'SrAc3', 'SrTe', 'SrIr2', 'SrSi', 'SrPt5', 'SrCa', 'SrLu', 'SrZn5', 'SrLa3', 'SrN6', 'SrHg11', 'SrAl', 'SrMg5', 'SrBr3', 'SrTl', 'SrTb', 'SrBe13', 'SrIn4', 'SrO3', 'SrCd3', 'SrO6']"
